"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
16,5,20,22,16,30,5,42.779307,16.829652,78.75,1.925,1.170059e-06,4.14,"VM","20_Tag40138_VM-18",2020-05-16 22:16:30,2020
16,5,20,22,36,30,5,42.779277,16.829726,61.5,1.845,2.58033e-07,4.16,"VM","20_Tag40138_VM-18",2020-05-16 22:36:30,2020
16,5,20,22,56,35,4,42.779295,16.830035,61,1.82,2.29928e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-16 22:56:35,2020
16,5,20,23,16,31,5,42.779266,16.829886,54.25,1.805,3.03294e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-16 23:16:31,2020
16,5,20,23,56,32,4,42.779532,16.829607,54,1.78,9.0276e-08,4.14,"VM","20_Tag40138_VM-18",2020-05-16 23:56:32,2020
17,5,20,0,16,26,5,42.779189,16.829547,53.5,1.745,4.07705e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-17 00:16:26,2020
17,5,20,0,36,26,5,42.779198,16.829582,50.75,1.82,9.46034e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-17 00:36:26,2020
17,5,20,1,16,29,4,42.779164,16.829607,50,1.87,2.96361e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-17 01:16:29,2020
17,5,20,1,36,28,4,42.779168,16.829709,50,1.86,1.673779e-06,4.14,"VM","20_Tag40138_VM-18",2020-05-17 01:36:28,2020
17,5,20,1,56,22,5,42.788352,16.827213,44.5,1.7,2.62355e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-17 01:56:22,2020
17,5,20,2,16,27,5,42.799528,16.827712,26.75,1.545,4.86739e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-17 02:16:27,2020
17,5,20,2,36,25,6,42.79958,16.826963,46.5,1.715,1.772572e-06,4.14,"VM","20_Tag40138_VM-18",2020-05-17 02:36:25,2020
17,5,20,22,41,22,5,42.794651,16.796529,52.25,1.8,7.4922e-08,4.14,"VM","20_Tag40138_VM-18",2020-05-17 22:41:22,2020
18,5,20,1,27,27,5,42.779253,16.829658,56.5,1.58,3.44771e-07,4.1,"VM","20_Tag40138_VM-18",2020-05-18 01:27:27,2020
18,5,20,1,47,26,5,42.77947,16.83004,87.5,1.37,2.86379e-07,4.14,"VM","20_Tag40138_VM-18",2020-05-18 01:47:26,2020
19,5,20,9,42,8,6,43.079359,17.056044,24.5,1.26,3.003356e-06,4.12,"VM","20_Tag40138_VM-18",2020-05-19 09:42:08,2020
20,5,20,1,31,25,4,42.778968,16.82978,24,1.025,5.16801e-07,4.16,"VM","20_Tag40138_VM-18",2020-05-20 01:31:25,2020
