"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
17,4,20,4,53,11,5,42.771978,16.728936,48.5,-4.205,4.98029e-07,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 04:53:11,2020
17,4,20,6,53,14,5,42.776686,16.756718,20.5,-4.435,1.74404e-07,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 06:53:14,2020
17,4,20,8,37,24,7,42.773008,16.74701,43.5,-4.495,3.205255e-06,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 08:37:24,2020
17,4,20,9,37,26,5,42.779427,16.75651,10,-4.46,6.022629e-06,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 09:37:26,2020
17,4,20,10,37,25,5,42.778834,16.759289,23.75,-4.6,2.51158e-07,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 10:37:25,2020
17,4,20,11,37,21,6,42.769924,16.754866,91.25,-4.74,3.240545e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 11:37:21,2020
17,4,20,12,37,55,8,42.770262,16.755954,32.25,-4.625,5.023811e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 12:37:55,2020
17,4,20,13,37,58,5,42.785871,16.750831,42.5,-4.58,1.230191e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 13:37:58,2020
17,4,20,14,38,2,6,42.787328,16.745092,44.75,-4.92,1.409461e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 14:38:02,2020
17,4,20,15,58,54,6,42.788259,16.742207,40.5,-5.345,3.477456e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 15:58:54,2020
17,4,20,16,58,49,6,42.827811,16.812282,15.25,-5.515,3.492144e-06,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 16:58:49,2020
17,4,20,17,58,53,6,42.820821,16.852097,39.5,-5.42,6.96542e-07,4.08,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 17:58:53,2020
17,4,20,18,58,51,8,42.805093,16.853499,24.5,-5.39,2.98552e-06,4.06,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-17 18:58:51,2020
19,4,20,1,58,35,5,42.775221,16.876641,55.75,-6.756,8.07581e-07,4.02,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-19 01:58:35,2020
19,4,20,2,58,31,7,42.808375,16.847071,31,-8.793,4.901832e-06,4.02,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-19 02:58:31,2020
19,4,20,4,2,27,6,42.803461,16.824731,42,-9.23,8.413274e-06,4.02,"Z","20_Tag40193_Z-13 (2nd Parent)",2020-04-19 04:02:27,2020
