"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
5,5,19,14,9,1,5,42.774184,16.873346,44,1.4,6.95987e-07,4.16,"Z","19_Tag17704_Z-11",2019-05-05 14:09:01,2019
5,5,19,14,29,0,5,42.774085,16.873444,29.5,1.455,1.046009e-06,4.16,"Z","19_Tag17704_Z-11",2019-05-05 14:29:00,2019
5,5,19,23,8,50,4,42.78082,16.862668,29,0.97,1.74163e-07,4.12,"Z","19_Tag17704_Z-11",2019-05-05 23:08:50,2019
5,5,19,23,48,44,6,42.797872,16.890839,75.5,0.66,4.239548e-06,4.1,"Z","19_Tag17704_Z-11",2019-05-05 23:48:44,2019
6,5,19,0,8,44,7,42.804589,16.923292,67,1.335,2.029106e-06,4.1,"Z","19_Tag17704_Z-11",2019-05-06 00:08:44,2019
6,5,19,0,28,44,5,42.805771,17.012604,4.5,1.91,4.96171e-07,4.1,"Z","19_Tag17704_Z-11",2019-05-06 00:28:44,2019
6,5,19,0,48,47,7,42.805023,17.013974,63.25,1.88,2.426776e-06,4.1,"Z","19_Tag17704_Z-11",2019-05-06 00:48:47,2019
6,5,19,1,8,44,5,42.804372,17.014624,35.25,1.54,9.2027e-08,4.08,"Z","19_Tag17704_Z-11",2019-05-06 01:08:44,2019
6,5,19,1,28,44,5,42.803695,17.01465,28.75,1.44,1.039114e-06,4.08,"Z","19_Tag17704_Z-11",2019-05-06 01:28:44,2019
6,5,19,1,48,44,5,42.802715,17.013758,28,1.585,9.25267e-07,4.1,"Z","19_Tag17704_Z-11",2019-05-06 01:48:44,2019
6,5,19,2,8,43,7,42.80052,17.021047,59,1.65,8.208102e-06,4.1,"Z","19_Tag17704_Z-11",2019-05-06 02:08:43,2019
6,5,19,2,28,43,5,42.80057,17.019526,28.75,1.67,3.82512e-07,4.1,"Z","19_Tag17704_Z-11",2019-05-06 02:28:43,2019
