"day","month","year","hour","minute","second","satellites","latitude","longitude","altitude","time_offset","accuracy","voltage","colony_code","bird_id","dttm","deploy_year"
3,5,19,23,54,13,5,42.775481,16.876217,92,2.415,1.92575e-07,4.12,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-03 23:54:13,2019
4,5,19,19,33,20,5,42.775195,16.876487,66.25,2.44,8.8576e-07,4.06,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 19:33:20,2019
4,5,19,19,53,17,6,42.793498,16.878613,39.5,2.5,2.049101e-06,4.06,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 19:53:17,2019
4,5,19,20,13,12,7,42.804376,16.873326,39.75,2.46,9.05299e-07,4.06,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 20:13:12,2019
4,5,19,20,33,12,6,42.816702,16.868303,65.25,2.475,1.514686e-06,4.06,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 20:33:12,2019
4,5,19,20,53,12,7,42.819646,16.869701,35,2.48,1.991965e-06,4.06,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 20:53:12,2019
4,5,19,21,13,12,9,42.82264,16.871575,19,2.415,3.68777e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 21:13:12,2019
4,5,19,21,33,12,7,42.824832,16.874837,45.25,2.475,1.374621e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 21:33:12,2019
4,5,19,21,53,12,8,42.827388,16.878403,34.25,2.525,3.377981e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 21:53:12,2019
4,5,19,22,13,12,8,42.829554,16.88159,33.75,2.45,4.25868e-06,4.02,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 22:13:12,2019
4,5,19,22,33,11,6,42.831295,16.885239,61,2.475,5.070059e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 22:33:11,2019
4,5,19,22,53,11,8,42.832743,16.889098,43.25,2.515,4.895352e-06,4.02,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 22:53:11,2019
4,5,19,23,13,11,7,42.833938,16.89219,54.5,2.455,7.200273e-06,4.02,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 23:13:11,2019
4,5,19,23,33,11,8,42.83502,16.895486,43.75,2.49,4.66263e-06,4.02,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-04 23:33:11,2019
5,5,19,0,13,11,6,42.836164,16.901188,47,2.54,6.866052e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-05 00:13:11,2019
5,5,19,0,53,11,5,42.836679,16.905145,-47.5,2.5,4.39071e-07,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-05 00:53:11,2019
5,5,19,1,33,13,5,42.837001,16.908122,-102.25,2.57,3.38377e-06,4.04,"Z","19_Tag17617_Z-4 (2nd Parent)",2019-05-05 01:33:13,2019
